utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,"Yes, more than once",No,"Yes, actively used",686
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",636
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Own,No,"Yes, active member",No,685
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",737
Always on time,No,"Yes, more than once","Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",728
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Live with family/friends,No,"Yes, inactive member","Yes, actively used",759
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",778
Occasionally late,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,No,698
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",6 months to 1 year,No,Live with family/friends,No,No,"Yes, actively used",642
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,No,Rent,"Yes, once","Yes, inactive member","Yes, actively used",701
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Live with family/friends,No,"Yes, inactive member","Yes, actively used",654
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",718
Frequently late,"Yes, but refunded",No,No,1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",642
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",686
Occasionally late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",723
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,No,Rent,No,"Yes, active member","Yes, rarely used",743
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member","Yes, rarely used",721
Occasionally late,"Yes, not refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member","Yes, actively used",656
Always on time,No,"Yes, once",No,6 months to 1 year,No,Rent,"Yes, more than once","Yes, active member","Yes, rarely used",621
Occasionally late,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",648
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,"Yes, more than once",No,"Yes, rarely used",620
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",753
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, rarely used",774
Occasionally late,No,"Yes, more than once","Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",587
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,"Yes, inactive member",No,665
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",752
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",761
Occasionally late,No,No,No,6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",678
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",757
Always on time,"Yes, not refunded","Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",595
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",729
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Live with family/friends,No,"Yes, active member","Yes, actively used",622
Frequently late,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,"Yes, more than once","Yes, active member","Yes, rarely used",616
Occasionally late,No,No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, actively used",669
Always on time,"Yes, not refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",617
Frequently late,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",623
Never paid,No,"Yes, once","Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, rarely used",522
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, occasionally",Rent,No,No,No,599
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",802
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",702
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",713
Never paid,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",623
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",759
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",680
Occasionally late,No,"Yes, once",No,6 months to 1 year,No,Rent,No,No,"Yes, rarely used",578
Frequently late,"Yes, but refunded","Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",593
Frequently late,"Yes, but refunded",No,No,Over 3 years,"Yes, regularly",Rent,"Yes, once",No,"Yes, rarely used",590
Never paid,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, regularly",Rent,"Yes, once","Yes, inactive member","Yes, rarely used",516
Always on time,"Yes, not refunded","Yes, once",No,1 to 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",635
Occasionally late,"Yes, but refunded",No,No,Over 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",689
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,"Yes, active member","Yes, rarely used",768
Always on time,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, rarely used",718
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",750
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",620
Never paid,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, rarely used",630
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",725
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",748
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,No,678
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,"Yes, more than once","Yes, active member","Yes, actively used",667
Never paid,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",664
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Live with family/friends,"Yes, once","Yes, active member","Yes, actively used",676
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Rent,No,"Yes, inactive member",No,694
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,"Yes, once",No,"Yes, actively used",717
Always on time,"Yes, but refunded",No,No,1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, rarely used",751
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Live with family/friends,No,No,"Yes, actively used",755
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, rarely used",678
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,"Yes, once",No,"Yes, rarely used",613
Always on time,No,No,No,1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",746
Never paid,"Yes, but refunded","Yes, once","Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",551
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",795
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",735
Frequently late,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,"Yes, inactive member","Yes, rarely used",651
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",660
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,No,740
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",725
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",676
Frequently late,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",565
Occasionally late,No,No,No,Less than 6 months,No,Own,No,"Yes, inactive member","Yes, actively used",673
Frequently late,No,No,No,1 to 3 years,No,Own,No,No,"Yes, actively used",663
Always on time,No,"Yes, more than once","Yes, sufficient",6 months to 1 year,No,Own,"Yes, more than once","Yes, inactive member","Yes, actively used",600
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",763
Frequently late,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",634
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",731
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,No,564
Always on time,No,"Yes, once",No,Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",720
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",756
Frequently late,No,No,"Yes, sufficient",Over 3 years,"Yes, regularly",Own,No,"Yes, active member",No,758
Always on time,No,No,No,6 months to 1 year,No,Own,No,"Yes, inactive member",No,726
Frequently late,No,"Yes, once","Yes, but limited",Less than 6 months,No,Live with family/friends,No,"Yes, active member","Yes, rarely used",568
Never paid,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",640
Frequently late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,No,No,667
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",748
Occasionally late,No,"Yes, once","Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, actively used",680
Frequently late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",711
Occasionally late,No,"Yes, once",No,Over 3 years,No,Own,No,No,"Yes, rarely used",623
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",635
Never paid,No,"Yes, once","Yes, but limited",Less than 6 months,No,Own,No,"Yes, active member","Yes, actively used",563
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",729
Never paid,No,No,No,1 to 3 years,No,Rent,No,"Yes, active member",No,601
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",725
Always on time,No,No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",720
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,"Yes, more than once",No,"Yes, actively used",625
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,"Yes, once",No,"Yes, rarely used",714
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",702
Always on time,No,"Yes, more than once","Yes, but limited",Less than 6 months,"Yes, regularly",Rent,"Yes, once","Yes, active member","Yes, rarely used",598
Never paid,No,No,No,6 months to 1 year,No,Live with family/friends,No,"Yes, active member","Yes, actively used",552
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",807
Always on time,No,No,No,1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",746
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,"Yes, once",No,"Yes, rarely used",711
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",685
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,"Yes, once","Yes, active member","Yes, rarely used",667
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",759
Occasionally late,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",674
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",694
Always on time,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, actively used",664
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",676
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",697
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",700
Always on time,"Yes, not refunded",No,No,Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",678
Always on time,No,No,No,6 months to 1 year,No,Rent,"Yes, more than once",No,No,630
Occasionally late,"Yes, but refunded","Yes, once",No,1 to 3 years,No,Rent,No,No,"Yes, actively used",572
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,"Yes, once",No,"Yes, actively used",737
Frequently late,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",652
Frequently late,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",700
Always on time,"Yes, not refunded",No,No,Less than 6 months,No,Own,No,No,"Yes, actively used",654
Never paid,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, more than once",No,"Yes, rarely used",519
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Live with family/friends,No,"Yes, inactive member","Yes, actively used",704
Always on time,"Yes, not refunded",No,No,Over 3 years,No,Own,No,No,No,702
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",813
Always on time,"Yes, but refunded",No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",681
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Live with family/friends,No,No,"Yes, actively used",662
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,"Yes, once","Yes, inactive member",No,723
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,No,Live with family/friends,"Yes, once",No,"Yes, rarely used",659
Occasionally late,No,No,No,Less than 6 months,No,Rent,No,No,"Yes, actively used",634
Always on time,"Yes, not refunded",No,No,Less than 6 months,No,Rent,"Yes, more than once",No,"Yes, actively used",576
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,No,No,689
Frequently late,No,No,No,Less than 6 months,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",641
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",788
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",753
Always on time,"Yes, but refunded",No,No,Less than 6 months,"Yes, regularly",Rent,"Yes, once","Yes, inactive member","Yes, actively used",678
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",741
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",715
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, rarely used",680
